"variable","comparison","treatment","n.trt","inoc","emmean","SE","df","lower.CL","upper.CL",".group","compact"
"iwue","full","ln_yi","ln","yi",71.8307333122876,5.3785544177126,18.6299899836013,60.5581376106576,83.1033290139176,"a","a"
"iwue","full","hn_ni","hn","ni",74.6641588830416,5.37855441771261,18.6299899836014,63.3915631814116,85.9367545846716,"a","a"
"iwue","full","hn_yi","hn","yi",77.7202126084677,5.37855441771261,18.6299899836014,66.4476169068377,88.9928083100978,"a","a"
"iwue","full","ln_ni","ln","ni",80.2360175754107,5.37855441771261,18.6299899836015,68.9634218737806,91.5086132770407,"a","a"
"iwue","n.trt",NA,"ln",NA,76.0333754438491,4.10741185043021,7.1478937412078,66.3614791770036,85.7052717106947,"a","a"
"iwue","n.trt",NA,"hn",NA,76.1921857457547,4.10741185043021,7.14789374120779,66.5202894789091,85.8640820126002,"a","a"
"iwue","inoc",NA,NA,"yi",74.7754729603777,4.10741185043021,7.14789374120779,65.1035766935321,84.4473692272232,"a","a"
"iwue","inoc",NA,NA,"ni",77.4500882292261,4.10741185043021,7.14789374120779,67.7781919623806,87.1219844960717,"a","a"
"vcmax.gs","full","ln_yi","ln","yi",413.4530306752,41.6365690546688,16.9747990047425,334.304423034514,511.340553088822,"a","a"
"vcmax.gs","full","ln_ni","ln","ni",441.815751484667,44.4928218716651,16.9747990047425,357.237579432989,546.418320742701,"a","a"
"vcmax.gs","full","hn_ni","hn","ni",499.746728829275,50.3267303441079,16.9747990047422,404.078648478698,618.06480969936,"a","a"
